"Step","female-silero - loss/g/kl","female-silero - loss/g/kl__MIN","female-silero - loss/g/kl__MAX"
"0","4.263628959655762","4.263628959655762","4.263628959655762"
"1","2.4025728702545166","2.4025728702545166","2.4025728702545166"
"2","2.479046583175659","2.479046583175659","2.479046583175659"
"3","2.849433660507202","2.849433660507202","2.849433660507202"
"4","2.677431106567383","2.677431106567383","2.677431106567383"
"5","2.0759878158569336","2.0759878158569336","2.0759878158569336"
"6","2.510925054550171","2.510925054550171","2.510925054550171"
"7","2.344539165496826","2.344539165496826","2.344539165496826"
"8","2.416450262069702","2.416450262069702","2.416450262069702"
"9","2.02158260345459","2.02158260345459","2.02158260345459"
"10","2.3632965087890625","2.3632965087890625","2.3632965087890625"
"11","2.343655586242676","2.343655586242676","2.343655586242676"
"12","2.539630889892578","2.539630889892578","2.539630889892578"
"13","1.799414873123169","1.799414873123169","1.799414873123169"
"14","2.7957727909088135","2.7957727909088135","2.7957727909088135"
"15","2.5001401901245117","2.5001401901245117","2.5001401901245117"
"16","2.536634683609009","2.536634683609009","2.536634683609009"
"17","2.6990573406219482","2.6990573406219482","2.6990573406219482"
"18","2.4808971881866455","2.4808971881866455","2.4808971881866455"
"19","2.464534282684326","2.464534282684326","2.464534282684326"
"20","2.215780019760132","2.215780019760132","2.215780019760132"
"21","2.5829174518585205","2.5829174518585205","2.5829174518585205"
"22","2.425523042678833","2.425523042678833","2.425523042678833"
"23","2.722780227661133","2.722780227661133","2.722780227661133"
"24","2.534471273422241","2.534471273422241","2.534471273422241"
"25","2.2007839679718018","2.2007839679718018","2.2007839679718018"
"26","2.515986204147339","2.515986204147339","2.515986204147339"
"27","2.5359251499176025","2.5359251499176025","2.5359251499176025"
"28","2.6539418697357178","2.6539418697357178","2.6539418697357178"
"29","2.521066427230835","2.521066427230835","2.521066427230835"
"30","2.507603883743286","2.507603883743286","2.507603883743286"
"31","2.0923707485198975","2.0923707485198975","2.0923707485198975"
"32","2.379582166671753","2.379582166671753","2.379582166671753"
"33","2.6606709957122803","2.6606709957122803","2.6606709957122803"
"34","2.326124429702759","2.326124429702759","2.326124429702759"
"35","2.4082112312316895","2.4082112312316895","2.4082112312316895"
"36","2.655599355697632","2.655599355697632","2.655599355697632"
"37","2.4173810482025146","2.4173810482025146","2.4173810482025146"
"38","2.1527256965637207","2.1527256965637207","2.1527256965637207"
"39","2.047955274581909","2.047955274581909","2.047955274581909"
"40","2.2771570682525635","2.2771570682525635","2.2771570682525635"
"41","2.638615369796753","2.638615369796753","2.638615369796753"
"42","2.458796739578247","2.458796739578247","2.458796739578247"
"43","2.6189932823181152","2.6189932823181152","2.6189932823181152"
"44","2.332000970840454","2.332000970840454","2.332000970840454"
"45","2.1768100261688232","2.1768100261688232","2.1768100261688232"
"46","2.5958259105682373","2.5958259105682373","2.5958259105682373"
"47","2.585927963256836","2.585927963256836","2.585927963256836"
"48","2.6429786682128906","2.6429786682128906","2.6429786682128906"
"49","2.554384469985962","2.554384469985962","2.554384469985962"
"50","2.315404176712036","2.315404176712036","2.315404176712036"
"51","2.569697380065918","2.569697380065918","2.569697380065918"
"52","2.0130982398986816","2.0130982398986816","2.0130982398986816"
"53","2.516291379928589","2.516291379928589","2.516291379928589"
"54","2.347377061843872","2.347377061843872","2.347377061843872"
"55","2.5187764167785645","2.5187764167785645","2.5187764167785645"
"56","2.2750258445739746","2.2750258445739746","2.2750258445739746"
"57","2.612058162689209","2.612058162689209","2.612058162689209"
"58","2.057622194290161","2.057622194290161","2.057622194290161"
"59","2.509204864501953","2.509204864501953","2.509204864501953"
"60","2.235522508621216","2.235522508621216","2.235522508621216"
"61","2.959609031677246","2.959609031677246","2.959609031677246"
"62","2.3903799057006836","2.3903799057006836","2.3903799057006836"
"63","2.085679054260254","2.085679054260254","2.085679054260254"
"64","2.7911150455474854","2.7911150455474854","2.7911150455474854"
"65","1.565605640411377","1.565605640411377","1.565605640411377"
"66","2.69416880607605","2.69416880607605","2.69416880607605"
"67","2.2879090309143066","2.2879090309143066","2.2879090309143066"
"68","2.6410090923309326","2.6410090923309326","2.6410090923309326"
"69","2.628223419189453","2.628223419189453","2.628223419189453"
"70","2.0108914375305176","2.0108914375305176","2.0108914375305176"
"71","2.5969860553741455","2.5969860553741455","2.5969860553741455"
"72","2.102800130844116","2.102800130844116","2.102800130844116"
"73","2.4145493507385254","2.4145493507385254","2.4145493507385254"
"74","2.6290738582611084","2.6290738582611084","2.6290738582611084"
"75","2.456653594970703","2.456653594970703","2.456653594970703"
"76","2.7181529998779297","2.7181529998779297","2.7181529998779297"
"77","2.301370143890381","2.301370143890381","2.301370143890381"
"78","2.3436665534973145","2.3436665534973145","2.3436665534973145"
"79","2.448803663253784","2.448803663253784","2.448803663253784"
"80","2.5280604362487793","2.5280604362487793","2.5280604362487793"
"81","2.4953689575195312","2.4953689575195312","2.4953689575195312"
"82","2.321946859359741","2.321946859359741","2.321946859359741"
"83","2.2995996475219727","2.2995996475219727","2.2995996475219727"
"84","2.2381927967071533","2.2381927967071533","2.2381927967071533"
"85","2.5489532947540283","2.5489532947540283","2.5489532947540283"
"86","2.7003800868988037","2.7003800868988037","2.7003800868988037"
"87","2.151127576828003","2.151127576828003","2.151127576828003"
"88","2.5798652172088623","2.5798652172088623","2.5798652172088623"
"89","2.360095977783203","2.360095977783203","2.360095977783203"
"90","2.8584842681884766","2.8584842681884766","2.8584842681884766"
"91","1.9407330751419067","1.9407330751419067","1.9407330751419067"
"92","2.738759994506836","2.738759994506836","2.738759994506836"
"93","2.400261163711548","2.400261163711548","2.400261163711548"
"94","2.6250197887420654","2.6250197887420654","2.6250197887420654"
"95","2.2166881561279297","2.2166881561279297","2.2166881561279297"
"96","2.3749120235443115","2.3749120235443115","2.3749120235443115"
"97","2.3781840801239014","2.3781840801239014","2.3781840801239014"
"98","2.6215555667877197","2.6215555667877197","2.6215555667877197"
"99","2.580552339553833","2.580552339553833","2.580552339553833"
"100","2.1933248043060303","2.1933248043060303","2.1933248043060303"
"101","2.4133241176605225","2.4133241176605225","2.4133241176605225"
"102","2.5800507068634033","2.5800507068634033","2.5800507068634033"
"103","2.611145496368408","2.611145496368408","2.611145496368408"
"104","2.053758144378662","2.053758144378662","2.053758144378662"
"105","2.4430408477783203","2.4430408477783203","2.4430408477783203"
"106","2.2582013607025146","2.2582013607025146","2.2582013607025146"
"107","2.2776148319244385","2.2776148319244385","2.2776148319244385"
"108","2.5096659660339355","2.5096659660339355","2.5096659660339355"
"109","2.2559452056884766","2.2559452056884766","2.2559452056884766"
"110","2.397704601287842","2.397704601287842","2.397704601287842"
"111","2.4538538455963135","2.4538538455963135","2.4538538455963135"
"112","2.088939666748047","2.088939666748047","2.088939666748047"
"113","2.494105339050293","2.494105339050293","2.494105339050293"
"114","2.1424615383148193","2.1424615383148193","2.1424615383148193"
"115","2.2644946575164795","2.2644946575164795","2.2644946575164795"
"116","2.6457645893096924","2.6457645893096924","2.6457645893096924"
"117","1.9924767017364502","1.9924767017364502","1.9924767017364502"
"118","2.403191566467285","2.403191566467285","2.403191566467285"
"119","2.059128999710083","2.059128999710083","2.059128999710083"
"120","2.2777085304260254","2.2777085304260254","2.2777085304260254"
"121","2.6054980754852295","2.6054980754852295","2.6054980754852295"
"122","1.919430136680603","1.919430136680603","1.919430136680603"
"123","2.089228868484497","2.089228868484497","2.089228868484497"
"124","2.1860222816467285","2.1860222816467285","2.1860222816467285"
"125","2.827472448348999","2.827472448348999","2.827472448348999"
"126","2.701184034347534","2.701184034347534","2.701184034347534"
"127","2.420466184616089","2.420466184616089","2.420466184616089"
"128","2.7834701538085938","2.7834701538085938","2.7834701538085938"
"129","2.820971727371216","2.820971727371216","2.820971727371216"
"130","2.88244891166687","2.88244891166687","2.88244891166687"
"131","1.7826838493347168","1.7826838493347168","1.7826838493347168"
"132","2.4453608989715576","2.4453608989715576","2.4453608989715576"
"133","2.440730094909668","2.440730094909668","2.440730094909668"
"134","2.3673055171966553","2.3673055171966553","2.3673055171966553"
"135","2.946206569671631","2.946206569671631","2.946206569671631"
"136","1.7495487928390503","1.7495487928390503","1.7495487928390503"
"137","2.157649517059326","2.157649517059326","2.157649517059326"
"138","2.963564872741699","2.963564872741699","2.963564872741699"
"139","2.0836894512176514","2.0836894512176514","2.0836894512176514"
"140","2.389007568359375","2.389007568359375","2.389007568359375"
"141","2.274104118347168","2.274104118347168","2.274104118347168"
"142","2.5730855464935303","2.5730855464935303","2.5730855464935303"
"143","2.5944268703460693","2.5944268703460693","2.5944268703460693"
"144","2.129761219024658","2.129761219024658","2.129761219024658"
"145","2.6169605255126953","2.6169605255126953","2.6169605255126953"
"146","2.2883260250091553","2.2883260250091553","2.2883260250091553"
"147","1.8977124691009521","1.8977124691009521","1.8977124691009521"
"148","2.2942683696746826","2.2942683696746826","2.2942683696746826"
"149","1.958010196685791","1.958010196685791","1.958010196685791"
"150","2.3772130012512207","2.3772130012512207","2.3772130012512207"
"151","2.3592147827148438","2.3592147827148438","2.3592147827148438"
"152","2.396494150161743","2.396494150161743","2.396494150161743"
"153","2.860830068588257","2.860830068588257","2.860830068588257"
