"Step","female-silero - loss/g/total","female-silero - loss/g/total__MIN","female-silero - loss/g/total__MAX"
"0","58.94606018066406","58.94606018066406","58.94606018066406"
"1","42.89387512207031","42.89387512207031","42.89387512207031"
"2","42.40045928955078","42.40045928955078","42.40045928955078"
"3","43.18077850341797","43.18077850341797","43.18077850341797"
"4","40.60995101928711","40.60995101928711","40.60995101928711"
"5","37.24915313720703","37.24915313720703","37.24915313720703"
"6","39.48750305175781","39.48750305175781","39.48750305175781"
"7","39.18115997314453","39.18115997314453","39.18115997314453"
"8","40.21791076660156","40.21791076660156","40.21791076660156"
"9","38.7718391418457","38.7718391418457","38.7718391418457"
"10","37.97208786010742","37.97208786010742","37.97208786010742"
"11","39.998836517333984","39.998836517333984","39.998836517333984"
"12","37.636566162109375","37.636566162109375","37.636566162109375"
"13","38.662025451660156","38.662025451660156","38.662025451660156"
"14","38.79779815673828","38.79779815673828","38.79779815673828"
"15","37.97140884399414","37.97140884399414","37.97140884399414"
"16","40.79098892211914","40.79098892211914","40.79098892211914"
"17","40.127201080322266","40.127201080322266","40.127201080322266"
"18","37.703529357910156","37.703529357910156","37.703529357910156"
"19","38.1960334777832","38.1960334777832","38.1960334777832"
"20","38.05907440185547","38.05907440185547","38.05907440185547"
"21","38.7598991394043","38.7598991394043","38.7598991394043"
"22","39.043495178222656","39.043495178222656","39.043495178222656"
"23","39.38534927368164","39.38534927368164","39.38534927368164"
"24","37.998104095458984","37.998104095458984","37.998104095458984"
"25","39.539974212646484","39.539974212646484","39.539974212646484"
"26","38.26692199707031","38.26692199707031","38.26692199707031"
"27","38.32141876220703","38.32141876220703","38.32141876220703"
"28","38.405120849609375","38.405120849609375","38.405120849609375"
"29","38.24943161010742","38.24943161010742","38.24943161010742"
"30","40.02336502075195","40.02336502075195","40.02336502075195"
"31","39.50690460205078","39.50690460205078","39.50690460205078"
"32","39.30170440673828","39.30170440673828","39.30170440673828"
"33","38.25238037109375","38.25238037109375","38.25238037109375"
"34","39.58645248413086","39.58645248413086","39.58645248413086"
"35","37.89997863769531","37.89997863769531","37.89997863769531"
"36","36.85725021362305","36.85725021362305","36.85725021362305"
"37","38.92039489746094","38.92039489746094","38.92039489746094"
"38","38.219383239746094","38.219383239746094","38.219383239746094"
"39","38.16903305053711","38.16903305053711","38.16903305053711"
"40","38.740787506103516","38.740787506103516","38.740787506103516"
"41","36.845672607421875","36.845672607421875","36.845672607421875"
"42","36.793540954589844","36.793540954589844","36.793540954589844"
"43","37.71568298339844","37.71568298339844","37.71568298339844"
"44","36.70339584350586","36.70339584350586","36.70339584350586"
"45","38.2746696472168","38.2746696472168","38.2746696472168"
"46","38.96221160888672","38.96221160888672","38.96221160888672"
"47","37.270912170410156","37.270912170410156","37.270912170410156"
"48","36.52393341064453","36.52393341064453","36.52393341064453"
"49","38.038639068603516","38.038639068603516","38.038639068603516"
"50","37.20933532714844","37.20933532714844","37.20933532714844"
"51","37.45710372924805","37.45710372924805","37.45710372924805"
"52","36.26483917236328","36.26483917236328","36.26483917236328"
"53","39.25061798095703","39.25061798095703","39.25061798095703"
"54","39.44504928588867","39.44504928588867","39.44504928588867"
"55","35.652793884277344","35.652793884277344","35.652793884277344"
"56","37.55263137817383","37.55263137817383","37.55263137817383"
"57","38.34718704223633","38.34718704223633","38.34718704223633"
"58","36.08747863769531","36.08747863769531","36.08747863769531"
"59","37.33784103393555","37.33784103393555","37.33784103393555"
"60","37.61992263793945","37.61992263793945","37.61992263793945"
"61","39.93754196166992","39.93754196166992","39.93754196166992"
"62","34.22240447998047","34.22240447998047","34.22240447998047"
"63","36.1386833190918","36.1386833190918","36.1386833190918"
"64","38.22492599487305","38.22492599487305","38.22492599487305"
"65","37.34787368774414","37.34787368774414","37.34787368774414"
"66","38.65959930419922","38.65959930419922","38.65959930419922"
"67","37.338706970214844","37.338706970214844","37.338706970214844"
"68","37.44799041748047","37.44799041748047","37.44799041748047"
"69","37.78789520263672","37.78789520263672","37.78789520263672"
"70","37.0529899597168","37.0529899597168","37.0529899597168"
"71","39.343910217285156","39.343910217285156","39.343910217285156"
"72","36.50666046142578","36.50666046142578","36.50666046142578"
"73","37.77954864501953","37.77954864501953","37.77954864501953"
"74","40.31147766113281","40.31147766113281","40.31147766113281"
"75","38.997581481933594","38.997581481933594","38.997581481933594"
"76","37.821083068847656","37.821083068847656","37.821083068847656"
"77","37.700294494628906","37.700294494628906","37.700294494628906"
"78","37.47157287597656","37.47157287597656","37.47157287597656"
"79","37.4725227355957","37.4725227355957","37.4725227355957"
"80","35.75583267211914","35.75583267211914","35.75583267211914"
"81","38.96512222290039","38.96512222290039","38.96512222290039"
"82","36.52002716064453","36.52002716064453","36.52002716064453"
"83","37.66197204589844","37.66197204589844","37.66197204589844"
"84","37.832794189453125","37.832794189453125","37.832794189453125"
"85","38.312259674072266","38.312259674072266","38.312259674072266"
"86","40.66127014160156","40.66127014160156","40.66127014160156"
"87","36.701045989990234","36.701045989990234","36.701045989990234"
"88","37.69093704223633","37.69093704223633","37.69093704223633"
"89","34.51091766357422","34.51091766357422","34.51091766357422"
"90","38.09135437011719","38.09135437011719","38.09135437011719"
"91","37.266605377197266","37.266605377197266","37.266605377197266"
"92","38.98218536376953","38.98218536376953","38.98218536376953"
"93","37.543155670166016","37.543155670166016","37.543155670166016"
"94","38.06631088256836","38.06631088256836","38.06631088256836"
"95","37.62518310546875","37.62518310546875","37.62518310546875"
"96","39.140838623046875","39.140838623046875","39.140838623046875"
"97","34.92265319824219","34.92265319824219","34.92265319824219"
"98","37.39714813232422","37.39714813232422","37.39714813232422"
"99","35.52128982543945","35.52128982543945","35.52128982543945"
"100","35.762149810791016","35.762149810791016","35.762149810791016"
"101","38.34813690185547","38.34813690185547","38.34813690185547"
"102","38.50762939453125","38.50762939453125","38.50762939453125"
"103","37.76424026489258","37.76424026489258","37.76424026489258"
"104","38.06495666503906","38.06495666503906","38.06495666503906"
"105","37.03018569946289","37.03018569946289","37.03018569946289"
"106","35.61954879760742","35.61954879760742","35.61954879760742"
"107","36.800601959228516","36.800601959228516","36.800601959228516"
"108","38.65574264526367","38.65574264526367","38.65574264526367"
"109","36.823368072509766","36.823368072509766","36.823368072509766"
"110","36.0804443359375","36.0804443359375","36.0804443359375"
"111","39.0019416809082","39.0019416809082","39.0019416809082"
"112","36.86302947998047","36.86302947998047","36.86302947998047"
"113","37.319156646728516","37.319156646728516","37.319156646728516"
"114","37.33641052246094","37.33641052246094","37.33641052246094"
"115","36.3106689453125","36.3106689453125","36.3106689453125"
"116","37.151649475097656","37.151649475097656","37.151649475097656"
"117","35.89533233642578","35.89533233642578","35.89533233642578"
"118","38.153961181640625","38.153961181640625","38.153961181640625"
"119","37.14925765991211","37.14925765991211","37.14925765991211"
"120","38.980316162109375","38.980316162109375","38.980316162109375"
"121","38.41407012939453","38.41407012939453","38.41407012939453"
"122","36.098350524902344","36.098350524902344","36.098350524902344"
