"Step","male_silero - loss/g/fm","male_silero - loss/g/fm__MIN","male_silero - loss/g/fm__MAX"
"0","9.790964126586914","9.790964126586914","9.790964126586914"
"1","10.954940795898438","10.954940795898438","10.954940795898438"
"2","10.468635559082031","10.468635559082031","10.468635559082031"
"3","10.929339408874512","10.929339408874512","10.929339408874512"
"4","10.54884147644043","10.54884147644043","10.54884147644043"
"5","10.47490119934082","10.47490119934082","10.47490119934082"
"6","10.062793731689453","10.062793731689453","10.062793731689453"
"7","11.062559127807617","11.062559127807617","11.062559127807617"
"8","10.251360893249512","10.251360893249512","10.251360893249512"
"9","8.84952449798584","8.84952449798584","8.84952449798584"
"10","7.984296798706055","7.984296798706055","7.984296798706055"
"11","9.843998908996582","9.843998908996582","9.843998908996582"
"12","8.746176719665527","8.746176719665527","8.746176719665527"
"13","9.19155216217041","9.19155216217041","9.19155216217041"
"14","7.708678245544434","7.708678245544434","7.708678245544434"
"15","8.072281837463379","8.072281837463379","8.072281837463379"
"16","7.974186420440674","7.974186420440674","7.974186420440674"
"17","7.415902614593506","7.415902614593506","7.415902614593506"
"18","8.172723770141602","8.172723770141602","8.172723770141602"
"19","8.501771926879883","8.501771926879883","8.501771926879883"
"20","8.251022338867188","8.251022338867188","8.251022338867188"
"21","9.13977336883545","9.13977336883545","9.13977336883545"
"22","9.223822593688965","9.223822593688965","9.223822593688965"
"23","9.377570152282715","9.377570152282715","9.377570152282715"
"24","6.791790962219238","6.791790962219238","6.791790962219238"
"25","8.78720474243164","8.78720474243164","8.78720474243164"
"26","8.593328475952148","8.593328475952148","8.593328475952148"
"27","9.526008605957031","9.526008605957031","9.526008605957031"
"28","7.822746753692627","7.822746753692627","7.822746753692627"
"29","9.28446102142334","9.28446102142334","9.28446102142334"
"30","7.676110744476318","7.676110744476318","7.676110744476318"
"31","8.033608436584473","8.033608436584473","8.033608436584473"
"32","8.03125286102295","8.03125286102295","8.03125286102295"
"33","8.541515350341797","8.541515350341797","8.541515350341797"
"34","7.863245487213135","7.863245487213135","7.863245487213135"
"35","9.214130401611328","9.214130401611328","9.214130401611328"
"36","8.428075790405273","8.428075790405273","8.428075790405273"
"37","8.72667407989502","8.72667407989502","8.72667407989502"
"38","8.899293899536133","8.899293899536133","8.899293899536133"
"39","8.929098129272461","8.929098129272461","8.929098129272461"
"40","7.874500274658203","7.874500274658203","7.874500274658203"
"41","8.632118225097656","8.632118225097656","8.632118225097656"
"42","9.218340873718262","9.218340873718262","9.218340873718262"
"43","9.038433074951172","9.038433074951172","9.038433074951172"
"44","9.005301475524902","9.005301475524902","9.005301475524902"
"45","7.779505729675293","7.779505729675293","7.779505729675293"
"46","9.287142753601074","9.287142753601074","9.287142753601074"
"47","7.528709411621094","7.528709411621094","7.528709411621094"
"48","8.25898551940918","8.25898551940918","8.25898551940918"
"49","7.7565131187438965","7.7565131187438965","7.7565131187438965"
"50","9.042732238769531","9.042732238769531","9.042732238769531"
"51","7.582716941833496","7.582716941833496","7.582716941833496"
"52","7.895448207855225","7.895448207855225","7.895448207855225"
