"Step","male_silero - loss/g/kl","male_silero - loss/g/kl__MIN","male_silero - loss/g/kl__MAX"
"0","7.631106376647949","7.631106376647949","7.631106376647949"
"1","2.760938882827759","2.760938882827759","2.760938882827759"
"2","2.780410051345825","2.780410051345825","2.780410051345825"
"3","2.3345279693603516","2.3345279693603516","2.3345279693603516"
"4","2.1461198329925537","2.1461198329925537","2.1461198329925537"
"5","2.6746084690093994","2.6746084690093994","2.6746084690093994"
"6","1.868902325630188","1.868902325630188","1.868902325630188"
"7","2.114480495452881","2.114480495452881","2.114480495452881"
"8","2.648512125015259","2.648512125015259","2.648512125015259"
"9","2.5331695079803467","2.5331695079803467","2.5331695079803467"
"10","3.274585008621216","3.274585008621216","3.274585008621216"
"11","2.129629373550415","2.129629373550415","2.129629373550415"
"12","2.010239362716675","2.010239362716675","2.010239362716675"
"13","2.013049364089966","2.013049364089966","2.013049364089966"
"14","2.2495107650756836","2.2495107650756836","2.2495107650756836"
"15","2.0522756576538086","2.0522756576538086","2.0522756576538086"
"16","2.0498335361480713","2.0498335361480713","2.0498335361480713"
"17","2.3954646587371826","2.3954646587371826","2.3954646587371826"
"18","2.7864136695861816","2.7864136695861816","2.7864136695861816"
"19","2.2171168327331543","2.2171168327331543","2.2171168327331543"
"20","2.478398084640503","2.478398084640503","2.478398084640503"
"21","2.347762107849121","2.347762107849121","2.347762107849121"
"22","2.359678268432617","2.359678268432617","2.359678268432617"
"23","2.627324104309082","2.627324104309082","2.627324104309082"
"24","2.3730649948120117","2.3730649948120117","2.3730649948120117"
"25","2.375275135040283","2.375275135040283","2.375275135040283"
"26","2.7286646366119385","2.7286646366119385","2.7286646366119385"
"27","2.48675274848938","2.48675274848938","2.48675274848938"
"28","2.0379767417907715","2.0379767417907715","2.0379767417907715"
"29","1.8207402229309082","1.8207402229309082","1.8207402229309082"
"30","2.688265562057495","2.688265562057495","2.688265562057495"
"31","2.5543487071990967","2.5543487071990967","2.5543487071990967"
"32","1.939853549003601","1.939853549003601","1.939853549003601"
"33","2.5826144218444824","2.5826144218444824","2.5826144218444824"
"34","2.7088634967803955","2.7088634967803955","2.7088634967803955"
"35","2.817744255065918","2.817744255065918","2.817744255065918"
"36","2.7119624614715576","2.7119624614715576","2.7119624614715576"
"37","2.4724111557006836","2.4724111557006836","2.4724111557006836"
"38","2.5009381771087646","2.5009381771087646","2.5009381771087646"
"39","2.735008716583252","2.735008716583252","2.735008716583252"
"40","2.2930808067321777","2.2930808067321777","2.2930808067321777"
"41","2.8005573749542236","2.8005573749542236","2.8005573749542236"
"42","2.344212770462036","2.344212770462036","2.344212770462036"
"43","2.1079294681549072","2.1079294681549072","2.1079294681549072"
"44","2.177764415740967","2.177764415740967","2.177764415740967"
"45","2.5779147148132324","2.5779147148132324","2.5779147148132324"
"46","2.0682480335235596","2.0682480335235596","2.0682480335235596"
"47","2.5184383392333984","2.5184383392333984","2.5184383392333984"
"48","1.9552236795425415","1.9552236795425415","1.9552236795425415"
"49","2.325131893157959","2.325131893157959","2.325131893157959"
"50","2.3159866333007812","2.3159866333007812","2.3159866333007812"
"51","2.334782361984253","2.334782361984253","2.334782361984253"
"52","2.3809375762939453","2.3809375762939453","2.3809375762939453"
"53","2.3237195014953613","2.3237195014953613","2.3237195014953613"
"54","2.0041275024414062","2.0041275024414062","2.0041275024414062"
"55","2.212785243988037","2.212785243988037","2.212785243988037"
"56","2.47198748588562","2.47198748588562","2.47198748588562"
"57","2.256072521209717","2.256072521209717","2.256072521209717"
"58","2.601667642593384","2.601667642593384","2.601667642593384"
"59","3.009565830230713","3.009565830230713","3.009565830230713"
"60","3.006387233734131","3.006387233734131","3.006387233734131"
"61","2.2979230880737305","2.2979230880737305","2.2979230880737305"
"62","1.9007667303085327","1.9007667303085327","1.9007667303085327"
"63","2.0511221885681152","2.0511221885681152","2.0511221885681152"
"64","2.4100935459136963","2.4100935459136963","2.4100935459136963"
"65","2.0396318435668945","2.0396318435668945","2.0396318435668945"
"66","2.280280828475952","2.280280828475952","2.280280828475952"
"67","2.5798182487487793","2.5798182487487793","2.5798182487487793"
"68","2.819113254547119","2.819113254547119","2.819113254547119"
"69","1.9750840663909912","1.9750840663909912","1.9750840663909912"
"70","3.0825767517089844","3.0825767517089844","3.0825767517089844"
"71","2.036569595336914","2.036569595336914","2.036569595336914"
"72","2.3381640911102295","2.3381640911102295","2.3381640911102295"
"73","2.127671718597412","2.127671718597412","2.127671718597412"
"74","2.5937514305114746","2.5937514305114746","2.5937514305114746"
"75","1.8453242778778076","1.8453242778778076","1.8453242778778076"
"76","2.882697105407715","2.882697105407715","2.882697105407715"
"77","2.3468246459960938","2.3468246459960938","2.3468246459960938"
"78","2.0747792720794678","2.0747792720794678","2.0747792720794678"
"79","2.620651960372925","2.620651960372925","2.620651960372925"
"80","2.3202483654022217","2.3202483654022217","2.3202483654022217"
"81","2.0839645862579346","2.0839645862579346","2.0839645862579346"
"82","2.6212732791900635","2.6212732791900635","2.6212732791900635"
"83","2.8556582927703857","2.8556582927703857","2.8556582927703857"
"84","1.9454292058944702","1.9454292058944702","1.9454292058944702"
"85","2.407731056213379","2.407731056213379","2.407731056213379"
"86","2.1108553409576416","2.1108553409576416","2.1108553409576416"
"87","2.535111904144287","2.535111904144287","2.535111904144287"
"88","2.31894850730896","2.31894850730896","2.31894850730896"
"89","2.0300650596618652","2.0300650596618652","2.0300650596618652"
"90","2.358396291732788","2.358396291732788","2.358396291732788"
"91","2.168649673461914","2.168649673461914","2.168649673461914"
"92","2.5498461723327637","2.5498461723327637","2.5498461723327637"
"93","1.8296812772750854","1.8296812772750854","1.8296812772750854"
"94","2.2786831855773926","2.2786831855773926","2.2786831855773926"
"95","2.5354526042938232","2.5354526042938232","2.5354526042938232"
"96","2.0749294757843018","2.0749294757843018","2.0749294757843018"
"97","2.3251049518585205","2.3251049518585205","2.3251049518585205"
"98","2.0112264156341553","2.0112264156341553","2.0112264156341553"
"99","2.634312391281128","2.634312391281128","2.634312391281128"
"100","2.660952091217041","2.660952091217041","2.660952091217041"
"101","2.250927448272705","2.250927448272705","2.250927448272705"
"102","2.5237855911254883","2.5237855911254883","2.5237855911254883"
"103","2.7582309246063232","2.7582309246063232","2.7582309246063232"
"104","2.329476833343506","2.329476833343506","2.329476833343506"
"105","2.287511110305786","2.287511110305786","2.287511110305786"
"106","2.0218138694763184","2.0218138694763184","2.0218138694763184"
"107","2.005103588104248","2.005103588104248","2.005103588104248"
"108","2.0652894973754883","2.0652894973754883","2.0652894973754883"
"109","1.9463521242141724","1.9463521242141724","1.9463521242141724"
"110","2.3606648445129395","2.3606648445129395","2.3606648445129395"
"111","2.3449604511260986","2.3449604511260986","2.3449604511260986"
"112","2.190178394317627","2.190178394317627","2.190178394317627"
"113","2.4252140522003174","2.4252140522003174","2.4252140522003174"
"114","1.9874235391616821","1.9874235391616821","1.9874235391616821"
"115","1.9905498027801514","1.9905498027801514","1.9905498027801514"
"116","2.090548515319824","2.090548515319824","2.090548515319824"
"117","2.1018831729888916","2.1018831729888916","2.1018831729888916"
"118","2.707911491394043","2.707911491394043","2.707911491394043"
"119","2.3455097675323486","2.3455097675323486","2.3455097675323486"
"120","2.239255666732788","2.239255666732788","2.239255666732788"
"121","2.5856947898864746","2.5856947898864746","2.5856947898864746"
"122","2.4300129413604736","2.4300129413604736","2.4300129413604736"
"123","2.171308994293213","2.171308994293213","2.171308994293213"
"124","2.1550405025482178","2.1550405025482178","2.1550405025482178"
"125","1.880029320716858","1.880029320716858","1.880029320716858"
"126","2.1622672080993652","2.1622672080993652","2.1622672080993652"
"127","2.270559072494507","2.270559072494507","2.270559072494507"
"128","2.724393129348755","2.724393129348755","2.724393129348755"
"129","2.4488370418548584","2.4488370418548584","2.4488370418548584"
"130","2.1120173931121826","2.1120173931121826","2.1120173931121826"
"131","2.0062785148620605","2.0062785148620605","2.0062785148620605"
"132","2.508207321166992","2.508207321166992","2.508207321166992"
"133","2.600247859954834","2.600247859954834","2.600247859954834"
"134","2.228677749633789","2.228677749633789","2.228677749633789"
"135","2.081162691116333","2.081162691116333","2.081162691116333"
"136","1.9821457862854004","1.9821457862854004","1.9821457862854004"
"137","3.029263734817505","3.029263734817505","3.029263734817505"
"138","2.2745449542999268","2.2745449542999268","2.2745449542999268"
"139","2.0728681087493896","2.0728681087493896","2.0728681087493896"
"140","2.475846767425537","2.475846767425537","2.475846767425537"
"141","1.7815852165222168","1.7815852165222168","1.7815852165222168"
"142","2.143355131149292","2.143355131149292","2.143355131149292"
"143","2.6175384521484375","2.6175384521484375","2.6175384521484375"
"144","2.599743366241455","2.599743366241455","2.599743366241455"
"145","2.202836036682129","2.202836036682129","2.202836036682129"
"146","2.314061403274536","2.314061403274536","2.314061403274536"
"147","2.1211469173431396","2.1211469173431396","2.1211469173431396"
"148","2.127925157546997","2.127925157546997","2.127925157546997"
"149","2.359539270401001","2.359539270401001","2.359539270401001"
"150","2.081001043319702","2.081001043319702","2.081001043319702"
"151","2.276768445968628","2.276768445968628","2.276768445968628"
"152","2.2152676582336426","2.2152676582336426","2.2152676582336426"
"153","2.2154159545898438","2.2154159545898438","2.2154159545898438"
"154","2.5437815189361572","2.5437815189361572","2.5437815189361572"
"155","2.5241756439208984","2.5241756439208984","2.5241756439208984"
"156","2.2383289337158203","2.2383289337158203","2.2383289337158203"
"157","2.664436101913452","2.664436101913452","2.664436101913452"
"158","2.5696682929992676","2.5696682929992676","2.5696682929992676"
"159","2.0994551181793213","2.0994551181793213","2.0994551181793213"
"160","1.8956894874572754","1.8956894874572754","1.8956894874572754"
"161","2.2632880210876465","2.2632880210876465","2.2632880210876465"
"162","1.7090122699737549","1.7090122699737549","1.7090122699737549"
"163","2.196458339691162","2.196458339691162","2.196458339691162"
"164","2.0673768520355225","2.0673768520355225","2.0673768520355225"
"165","2.2447195053100586","2.2447195053100586","2.2447195053100586"
"166","1.9138998985290527","1.9138998985290527","1.9138998985290527"
"167","2.047743558883667","2.047743558883667","2.047743558883667"
"168","2.597119092941284","2.597119092941284","2.597119092941284"
"169","2.2437257766723633","2.2437257766723633","2.2437257766723633"
"170","2.468114137649536","2.468114137649536","2.468114137649536"
"171","2.368401050567627","2.368401050567627","2.368401050567627"
"172","2.6739022731781006","2.6739022731781006","2.6739022731781006"
"173","1.7640682458877563","1.7640682458877563","1.7640682458877563"
"174","2.3240766525268555","2.3240766525268555","2.3240766525268555"
"175","2.1582095623016357","2.1582095623016357","2.1582095623016357"
"176","2.133687973022461","2.133687973022461","2.133687973022461"
"177","1.9147785902023315","1.9147785902023315","1.9147785902023315"
"178","2.3853673934936523","2.3853673934936523","2.3853673934936523"
"179","1.955271601676941","1.955271601676941","1.955271601676941"
"180","2.2517032623291016","2.2517032623291016","2.2517032623291016"
"181","2.397359609603882","2.397359609603882","2.397359609603882"
"182","2.3009791374206543","2.3009791374206543","2.3009791374206543"
